Event	Start	End	Code cours
1747-07	18-10-2021 09:00:00	18-10-2021 11:00:00	HIST0002-A-a
1748-07	18-10-2021 09:00:00	18-10-2021 11:00:00	LLOR0059-A-a
17493-07	18-10-2021 08:00:00	18-10-2021 10:00:00	LLOR0040-A-b
17501-07	18-10-2021 13:00:00	18-10-2021 17:00:00	SPAT0024-A-b
1755-07	18-10-2021 13:00:00	18-10-2021 16:00:00	PHIL0086-A-a
1756-07	18-10-2021 13:00:00	18-10-2021 15:00:00	PHIL0042-A-a
1758-07	18-10-2021 14:00:00	18-10-2021 18:00:00	ECON0307-A-a
17599-07	18-10-2021 13:30:00	18-10-2021 15:30:00	PHYS0974-A-a
1760-07	18-10-2021 15:00:00	18-10-2021 17:00:00	HIST0021-C-a
1766-07	18-10-2021 16:00:00	18-10-2021 17:30:00	LCLA0073-A-a
1767-07	18-10-2021 16:15:00	18-10-2021 19:15:00	FINA0085-A-a
1771-07	18-10-2021 16:15:00	18-10-2021 19:15:00	FINA0084-A-a
17895-07	18-10-2021 12:20:00	18-10-2021 13:55:00	ECON2293-A-a
1795-07	18-10-2021 08:30:00	18-10-2021 10:30:00	CHIM0714-A-a
18134-07	18-10-2021 11:00:00	18-10-2021 13:00:00	LGER0223-A-a
18308-07	18-10-2021 14:00:00	18-10-2021 16:00:00	BIOC9242-B-a
18310-07	18-10-2021 08:30:00	18-10-2021 12:00:00	VETE2086-F-a
18393-07	18-10-2021 08:30:00	18-10-2021 12:30:00	ELEC0055-A-b
18423-07	18-10-2021 15:00:00	18-10-2021 17:00:00	PATH0034-1
18433-07	18-10-2021 12:00:00	18-10-2021 13:00:00	LGER0008-A-f
1856-07	18-10-2021 10:45:00	18-10-2021 12:45:00	PHAR0343-A-c
18580-07	18-10-2021 09:00:00	18-10-2021 11:00:00	DTRA0002-A-a
1862-07	18-10-2021 09:00:00	18-10-2021 12:00:00	LANG1953-A-a
1863-07	18-10-2021 09:00:00	18-10-2021 12:00:00	LANG1953-A-a
18660-07	18-10-2021 16:15:00	18-10-2021 19:15:00	DROI1106-A-a
18695-07	18-10-2021 10:45:00	18-10-2021 12:45:00	PHYS1986-A-a
18932-07	18-10-2021 09:00:00	18-10-2021 13:00:00	GIRI9002-A-a
18947-07	18-10-2021 15:00:00	18-10-2021 17:00:00	PSYC5883-A-a
19004-07	18-10-2021 17:00:00	18-10-2021 18:00:00	SOCI0568-A-a
19034-07	18-10-2021 09:00:00	18-10-2021 11:00:00	HIST0160-A-b
